0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:40 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:41 +0900] "GET /BBS/noticeAdmin.jsp HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:42 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:45 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 10996
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:48 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:44:06 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 10996
0:0:0:0:0:0:0:1 - - [03/May/2022:19:44:57 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:44:59 +0900] "GET /BBS/map.jsp?userID=kim&myLink=yes HTTP/1.1" 200 98257
0:0:0:0:0:0:0:1 - - [03/May/2022:19:45:05 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:55:29 +0900] "GET /BBS/noticeAdmin.jsp HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [03/May/2022:19:55:30 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:55:33 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [03/May/2022:19:55:35 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:55:39 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 10996
0:0:0:0:0:0:0:1 - - [03/May/2022:19:55:41 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:20:16:57 +0900] "GET /BBS/map.jsp?userID=kim&myLink=yes HTTP/1.1" 200 98257
0:0:0:0:0:0:0:1 - - [03/May/2022:20:16:59 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:16:59 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [03/May/2022:20:16:59 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:16:59 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:00 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:01 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:02 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:03 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:24 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:24 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:26 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:27 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:27 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:28 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:30 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:30 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:31 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:36 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:36 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:38 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:17:39 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:23:44 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:25:20 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:25:22 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:26:21 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:26:22 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:26:23 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:26:25 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:26:25 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:26:26 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:26:27 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:31:55 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:31:55 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [03/May/2022:20:31:55 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:31:55 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:31:55 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:31:55 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:31:55 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:20:31:55 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
